,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Distintivo ambiental,Meses
118,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,12900.0,2018-02-01,Gasolina,35793.0,Todo Terreno,Automático,117.0,12.0,C,27
119,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,13900.0,2017-03-01,Gasolina,56924.0,Todo Terreno,Automático,117.0,12.0,C,38
120,NISSAN Terrano S 2.7 TDI,NISSAN,,,4x2,3800.0,1997-11-01,Diesel,370963.0,Todo Terreno,Manual,125.0,0.0,,270
121,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,14400.0,2017-11-01,Diesel,30531.0,Todo Terreno,Manual,110.0,12.0,C,30
122,NISSAN X-Trail 1.6 DCI N-CONNECTA 7 SEAT 130 5P 7 PLAZAS,NISSAN,X-Trail,N-Connecta,4x2,17900.0,2016-12-01,Diesel,17900.0,"4x4, SUV o pickup",Manual,130.0,0.0,C,41
123,NISSAN Leaf 109 acenta,NISSAN,Leaf,Acenta,4x2,10028.0,2015-03-01,Eléctrico,37369.0,Berlina mediana o grande,Automático,109.0,12.0,0 EMISIONES,62
124,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,19500.0,2019-03-01,Gasolina,5765.0,Todo Terreno,Manual,140.0,12.0,C,14
125,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,17000.0,2019-02-01,Gasolina,7653.0,Todo Terreno,Manual,140.0,12.0,C,15
126,NISSAN Qashqai 1.2 DIG-T Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,12800.0,2014-09-01,Gasolina,67238.0,Todo Terreno,Manual,115.0,12.0,C,68
127,NISSAN Qashqai 1.6 DCI N-CONNECTA 130 5P,NISSAN,Qashqai,N-Connecta,4x2,19500.0,2018-07-01,Diesel,19500.0,Berlina mediana o grande,Manual,130.0,0.0,C,22
128,NISSAN Note 1.5dCi Acenta,NISSAN,Note,Acenta,4x2,9400.0,2015-10-01,Diesel,32000.0,Monovolumen,Manual,90.0,12.0,C,55
129,NISSAN Note 1.5dCi Acenta,NISSAN,Note,Acenta,4x2,9400.0,2015-10-01,Diesel,32000.0,Monovolumen,Manual,90.0,12.0,C,55
130,NISSAN X-Trail 1.6 DIG-T Tekna 4x2 7 pl.,NISSAN,X-Trail,Tekna,4x2,23900.0,2018-06-01,Gasolina,14030.0,Todo Terreno,Manual,163.0,12.0,C,23
131,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,11990.0,2015-01-01,Diesel,63972.0,Todo Terreno,Manual,110.0,12.0,C,64
132,NISSAN NV200 M1 Diesel de 4 Puertas,NISSAN,,,4x2,18300.0,2019-08-01,Diesel,12.0,Monovolumen,Manual,110.0,24.0,C,9
