,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Color,Distintivo ambiental,Meses
513,NISSAN Qashqai 1.5dCi Tekna+ 4x2 85kW,NISSAN,Qashqai,Tekna,4x2,23750.0,2018-10-01,Diesel,5047.0,Todo Terreno,Manual,115.0,24.0,-,C,19
514,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,11990.0,2017-01-01,Diesel,89708.0,Todo Terreno,Manual,110.0,Sí,Negro Malbec Metalizado                 / Metalizado,C,40
515,NISSAN Qashqai 1.6dCi Tekna Premium 4x2 XTronic,NISSAN,Qashqai,Tekna,4x2,16350.0,2015-08-01,Diesel,152361.0,Todo Terreno,Automático,130.0,12.0,Blanco,C,57
516,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,14900.0,2018-04-01,Gasolina,19292.0,Todo Terreno,Automático,117.0,36.0,Negro,C,25
517,NISSAN Micra IG-T Tekna 100,NISSAN,Micra,Tekna,4x2,12250.0,2018-12-01,Gasolina,26069.0,Berlina,Manual,100.0,24.0,Azul,C,17
518,NISSAN Qashqai 1.7 DCI TEKNA 110KW 150 5P,NISSAN,Qashqai,Tekna,4x2,25500.0,2019-07-01,Diesel,250.0,Berlina mediana o grande,Manual,150.0,0.0,Rojo Fusion Metalizado,C,10
519,NISSAN Qashqai 1.3 DIG-T Tekna+ 4x2 103kW,NISSAN,Qashqai,Tekna,4x2,24000.0,2019-01-01,Gasolina,87.0,Todo Terreno,Manual,140.0,36.0,-,C,16
520,NISSAN Pulsar 1.2 DIG-T Acenta,NISSAN,Pulsar,Acenta,4x2,11800.0,2018-03-01,Gasolina,29992.0,Berlina,Manual,115.0,12.0,Blanco Perlado Metalizado,C,26
521,NISSAN Qashqai 1.6dCi Tekna+ 4x2 XTronic,NISSAN,Qashqai,Tekna,4x2,21980.0,2018-06-01,Diesel,38000.0,Todo Terreno,Automático,130.0,12.0,Negro,C,23
522,NISSAN Pulsar 1.2 DIG-T Acenta,NISSAN,Pulsar,Acenta,4x2,12900.0,2018-06-01,Gasolina,31930.0,Berlina,Manual,115.0,24.0,Negro Azabache Metalizado,C,23
523,NISSAN Juke DIG-T 86kW (117 CV) 6 M/T TEKNA,NISSAN,Juke,Tekna,4x2,22600.0,2019-12-01,Gasolina,10.0,"4x4, SUV o pickup",Manual,117.0,36.0,-,C,5
524,NISSAN Micra 1.0 G Acenta 70,NISSAN,Micra,Acenta,4x2,11900.0,2019-11-01,Gasolina,10.0,Berlina,Manual,70.0,36.0,Azul,C,6
525,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,15699.0,2017-07-01,Diesel,62635.0,Todo Terreno,Manual,110.0,12.0,Blanco,C,34
526,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,22200.0,2019-07-01,Gasolina,11.0,Todo Terreno,Manual,140.0,36.0,Blanco,C,10
527,NISSAN Qashqai 1.6dCi 360 4x2,NISSAN,Qashqai,,4x2,14400.0,2016-01-01,Diesel,105017.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,52
528,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,22900.0,2019-12-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,0.0,-,C,5
529,NISSAN Leaf Acenta 30KWh,NISSAN,Leaf,Acenta,4x2,14500.0,2017-08-01,Eléctrico,28900.0,Berlina,Automático,109.0,Sí,-,0 EMISIONES,33
530,NISSAN Micra IG-T S&S Acenta 90,NISSAN,Micra,Acenta,4x2,7800.0,2017-02-01,Gasolina,62000.0,Berlina,Manual,90.0,12.0,Negro,C,39
531,NISSAN Juke 1.5dCi N-Connecta 4x2,NISSAN,Juke,N-Connecta,4x2,14900.0,2019-02-01,Diesel,19448.0,Todo Terreno,Manual,110.0,12.0,-,C,15
532,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,15600.0,2016-09-01,Diesel,56052.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,44
533,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,12500.0,2018-03-01,Gasolina,26020.0,Todo Terreno,Manual,115.0,12.0,Blanco Perlado Metalizado,C,26
534,NISSAN X-Trail 1.6 dCi Acenta 4x4-i,NISSAN,X-Trail,Acenta,4x4,15990.0,2016-11-01,Diesel,64100.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,42
535,NISSAN Qashqai 1.6dCi Tekna+ 4x2 XTronic,NISSAN,Qashqai,Tekna,4x2,24400.0,2018-06-01,Diesel,16600.0,Todo Terreno,Automático,130.0,24.0,-,C,23
536,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,21900.0,2020-02-01,Gasolina,0.0,Todo Terreno,Manual,140.0,Sí,-,C,3
537,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,17900.0,2018-06-01,Gasolina,18300.0,Todo Terreno,Manual,115.0,48.0,-,C,23
538,NISSAN Juke 1.5dCi N-Connecta 4x2,NISSAN,Juke,N-Connecta,4x2,14900.0,2019-03-01,Diesel,13202.0,Todo Terreno,Manual,110.0,12.0,GRIS,C,14
539,NISSAN Qashqai 1.5dCi Tekna Premium 4x2,NISSAN,Qashqai,Tekna,4x2,14490.0,2015-04-01,Diesel,69990.0,Todo Terreno,Manual,110.0,12.0,Negro,C,61
540,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,12406.0,2017-03-01,Gasolina,57911.0,Todo Terreno,Manual,115.0,Sí,Blanco,C,38
541,NISSAN Juke ACCENTA 1.2 DIG,NISSAN,Juke,,4x2,10700.0,2016-04-01,Gasolina,39000.0,"4x4, SUV o pickup",Manual,115.0,12.0,-,C,49
542,NISSAN Qashqai 1.6dCi S&S Acenta 4x4,NISSAN,Qashqai,Acenta,4x4,17900.0,2015-07-01,Diesel,36649.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,58
543,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,32000.0,2019-03-01,Eléctrico,2600.0,Berlina,Automático,150.0,36.0,-,0 EMISIONES,14
544,NISSAN Qashqai Berlina 115cv Manual de 5 Puertas,NISSAN,Qashqai,,4x2,19900.0,2019-01-01,Diesel,47925.0,Berlina mediana o grande,Manual,115.0,20.0,Gris (metalizado),C,16
545,NISSAN Qashqai 1.6 DIG-T Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,15950.0,2017-01-01,Gasolina,35000.0,Todo Terreno,Manual,163.0,12.0,-,C,40
546,NISSAN Qashqai 1.3 DIG-T TEKNA 103KW 5P,NISSAN,Qashqai,Tekna,4x2,22500.0,2019-02-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,12.0,Blanco Perlado Metalizado,C,15
547,NISSAN Leaf Acenta 30KWh,NISSAN,Leaf,Acenta,4x2,14900.0,2017-08-01,Eléctrico,54500.0,Berlina,Automático,109.0,36.0,Negro (metalizado),0 EMISIONES,33
